"154","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Screen- Projector large",,,"3500",,,"CCAMBR1401"
"155","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Books",,,"85000",,,"CCAMBR1401"
"156","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Printer-HP 1100 Deskjet",,,"3000",,,"CCAMBR1401"
"157","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Asus PC-Celeron",,,"4500",,,"CCAMBR1401"
"158","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","DVD Duplicator Ureach 12 Bay","DUP201083",,"12000",,,"CCAMBR1401"
"159","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Canon LIDE 100 Scanner","KDKF08740",,"2000",,,"CCAMBR1401"
"160","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Canon P7240  Printer","ACPC07900",,"2000",,,"CCAMBR1401"
"161","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Handy Megaphone","HY3007WS",,"1100",,,"CCAMBR1401"
"162","2018-06-10","Parkside",,"c/o Dower & Abdurhman Road, Parkside, East London, 5201","allrisk","Church Building, Ablutions, Basement area, Steel Gates and Burglar Proofing",,"850000","45000",,,"CPARKS1501"
"163","2018-06-14","All Nations Campus",,"Helderberg College Anderson Bld  South Africa","allrisk","Complete PA System and additional components of PA System & Codes
",,,"50694",,,"CALLNA2601"
"164","2018-06-14","All Nations Campus",,"Helderberg College Anderson Bld South Africa","allrisk","Books ",,,"11000",,,"CALLNA2601"
"165","2018-06-14","All Nations Campus",,"Helderberg College Anderson Blg South Africa","allrisk","Dell laptop",,,"2000",,,"CALLNA2601"
"166","2018-06-14","All Nations Campus",,"Helderberg College Anderson Blg South Africa","allrisk","H P LaserJet Printer",,,"2800",,,"CALLNA2601"
"167","2018-06-14","All Nations Campus",,"Helderberg College Anderson Blg South Africa","allrisk","laptop and money bags",,,"1500",,,"CALLNA2601"
"168","2018-06-14","All Nations Campus",,"Helderberg College Anderson Blg South Africa","allrisk","2 Projectors ",,,"10800",,,"CALLNA2601"
"169","2018-06-14","All Nations Campus",,"Helderberg College Anderson Building South Africa","allrisk","Small Safe",,,"2990",,,"CALLNA2601"
"170","2018-06-14","All Nations Campus",,"Helderberg College Anderson Building South Africa","allrisk","Lord Supper utensils",,,"8000",,,"CALLNA2601"
"171","2018-06-14","All Nations Campus",,"Helderberg College Anderson Building South Africa","allrisk","Desktop computer and Monitor",,,"5000",,,"CALLNA2601"
"172","2018-06-14","All Nations Campus",,"Helderberg College  Anderson Blg South Africa","allrisk","Additional Speakers and micro-phones ",,,"7000",,,"CALLNA2601"
"173","2018-06-14","All Nations Campus",,"Helderberg College Anderson Building South Africa","allrisk","9 Gas Heaters and 12 x 9 Gas Tanks",,,"30888",,,"CALLNA2601"
"174","2018-06-14","All Nations Campus",,"Helderberg College Anderson Building South Africa","allrisk","Curtains",,,"47500",,,"CALLNA2601"
"175","2018-06-16","Hout Bay",,"South Africa","bldg/cont","P A system speaker 2xcodeless mics
","178 856ZA",,"7000",,,"CHOUTB5901"
"176","2018-06-16","Hout Bay",,"Pencance Street ,HoutBay ,Cape Town,South Africa","allrisk","90 x plastic chairs
",,,"2500",,,"CHOUTB5901"
"177","2018-06-16","Hout Bay",,"Pencance Street ,Hout Bay ,Cape Town,South Africa","allrisk","1x projector
","EY0201001417001E6PP00",,"5000",,,"CHOUTB5901"
"178","2018-06-16","Hout Bay",,"South Africa","allrisk","Dell Laptop","178 856ZA",,"5000",,,"CHOUTB5901"
"180","2018-06-16","Hout Bay",,"South Africa","allrisk","1xCanon Printer
",,,"500",,,"CHOUTB5901"
"181","2018-06-18","Parow","7028","South Africa, 51 Gardiner Road, Glenlily","bldg/cont","Parow Church",,"5758309","770048",,,"CPAROW4401"
"182","2018-06-18","Parow",,"South Africa","bldg","Parow CH. Boundary Wall",,"23013",,,,"CPAROW4401"
"183","2018-06-18","Parow",,"South Africa","bldg","Parow North Residence",,"2464056",,,,"CPAROW4401"
"184","2018-06-18","Parow",,"South Africa","allrisk","airtek airconditioner
","k00300237",,"1172",,,"CPAROW4401"
"185","2018-06-18","Parow",,"South Africa","allrisk","alarm - paradox
",,,"9517",,,"CPAROW4401"
"186","2018-06-18","Parow",,"South Africa","allrisk","Urn - caters pride - 36L
",,,"2396",,,"CPAROW4401"
"187","2018-06-18","Parow",,"South Africa","allrisk","LG Intelowave microwave
","407taej6k788",,"3000",,,"CPAROW4401"
"188","2018-06-18","Parow",,"South Africa","allrisk","acer p1206 dlp projector
","eyk180100210801",,"13177",,,"CPAROW4401"
"189","2018-06-18","Parow",,"South Africa","allrisk","amplifier av 971qa
","po90615012193",,"2928",,,"CPAROW4401"
"190","2018-06-18","Parow",,"South Africa","allrisk","eurodesk mx 200443
","81000000",,"8785",,,"CPAROW4401"
"191","2018-06-18","Parow",,"South Africa","allrisk","eurodesk Power supply
","71000000",,"8785",,,"CPAROW4401"
"192","2018-06-18","Parow",,"South Africa","allrisk","ultra amp ult 400
","389725",,"5271",,,"CPAROW4401"
"193","2018-06-18","Parow",,"South Africa","allrisk","FX processor lex mx 200v
","91806",,"4392",,,"CPAROW4401"
"194","2018-06-18","Parow",,"South Africa","allrisk","uhf receiver
","86803151ro-011",,"4392",,,"CPAROW4401"
"195","2018-06-18","Parow",,"South Africa","allrisk","uhf receiver
","86803151ro-019",,"4392",,,"CPAROW4401"
"196","2018-06-18","Parow",,"South Africa","allrisk","cordless microphones jts uhf
","4 x",,"7321",,,"CPAROW4401"
"197","2018-06-18","Parow",,"South Africa","allrisk","phantom microphones
","2 x",,"8785",,,"CPAROW4401"
"198","2018-06-18","Parow",,"South Africa","allrisk","AKG d880 microphones
","5 x",,"17500",,,"CPAROW4401"
"199","2018-06-18","Parow",,"South Africa","allrisk","powered monitor speaker mp200
","419928",,"5200",,,"CPAROW4401"
